adsh,company_name,sector,rating,investment_grade,financial_score,accounts_receivable,cash,current_assets,current_liabilities,gross_profit,inventory,long_term_debt,net_income,operating_income,revenue,short_term_debt,stockholders_equity,total_assets,total_liabilities,current_ratio,debt_to_equity,return_on_assets,profit_margin
0000002178-24-000096,Company_12,Consumer,B,0,0.14,144334000.0,25089000.0,2322000.0,16720000.0,,,2500000.0,-4540000.0,-6112000.0,42752000.0,2500000.0,23066000.0,6743000.0,248214000.0,0.1388755980861244,0.10838463539408653,-0.6732908201097434,-0.10619386227544911
0000002488-22-000016,Company_13,Industrial,AA+,1,4.0,2706000000.0,2535000000.0,8583000000.0,2424000000.0,7929000000.0,1955000000.0,1000000.0,3162000000.0,1979000000.0,,,-2130000000.0,72000000.0,333000000.0,3.5408415841584158,-0.00046948356807511736,43.916666666666664,
0000002488-22-000078,Company_14,Utilities,AA+,1,5.0,3677000000.0,4740000000.0,13369000000.0,3070000000.0,2818000000.0,2431000000.0,1475000000.0,786000000.0,723000000.0,,,-941000000.0,13369000000.0,12000000.0,4.354723127035831,-1.5674814027630182,0.058792729448724663,
0000002488-22-000123,Company_15,Technology,BB,0,1.25,4050000000.0,4964000000.0,769000000.0,3074000000.0,5846000000.0,2648000000.0,2465000000.0,447000000.0,-1450000000.0,,,55169000000.0,593000000.0,3074000000.0,0.2501626545217957,0.04468088963004586,0.7537942664418212,
0000002488-22-000170,Company_16,Financial,AA+,1,4.89,4336000000.0,3398000000.0,14420000000.0,359000000.0,8200000000.0,3369000000.0,2466000000.0,1299000000.0,-1320000000.0,,,57581000000.0,14420000000.0,1610000000.0,40.16713091922006,0.04282662683871416,0.09008321775312067,
0000002488-23-000047,Company_17,Healthcare,AA+,1,4.23,4126000000.0,4835000000.0,15019000000.0,336000000.0,10603000000.0,3771000000.0,2467000000.0,1320000000.0,1264000000.0,,,16000000.0,2152000000.0,1664000000.0,44.69940476190476,154.1875,0.6133828996282528,
0000002488-23-000076,Company_18,Energy,BBB,1,2.38,4040000000.0,3825000000.0,15658000000.0,6577000000.0,2359000000.0,4235000000.0,2467000000.0,-139000000.0,798000000.0,,,16000000.0,2410000000.0,6577000000.0,2.380720693325224,154.1875,-0.057676348547717846,
0000002488-23-000139,Company_19,Consumer,BB,0,1.45,4312000000.0,3841000000.0,1339000000.0,2971000000.0,2443000000.0,4567000000.0,1714000000.0,-112000000.0,539000000.0,,,58825000000.0,67967000000.0,91000000.0,0.45069000336587006,0.029137271568210794,-0.0016478585195756764,
0000002488-23-000195,Company_20,Industrial,BBB,1,2.36,5054000000.0,3561000000.0,1403000000.0,3376000000.0,2747000000.0,4445000000.0,1715000000.0,187000000.0,-3355000000.0,,,59182000000.0,21950000000.0,1152000000.0,0.41558056872037913,0.02897840559629617,0.008519362186788155,
0000002488-24-000012,Company_21,Utilities,AA+,1,4.88,5376000000.0,3933000000.0,1259000000.0,438000000.0,10460000000.0,4351000000.0,1717000000.0,854000000.0,-4419000000.0,,,17000000.0,21363000000.0,-221000000.0,2.874429223744292,101.0,0.03997565884941254,
0000002488-24-000056,Company_22,Technology,AA+,1,4.0,5038000000.0,4190000000.0,1328000000.0,438000000.0,2560000000.0,4652000000.0,1718000000.0,123000000.0,541000000.0,,,60053000000.0,322000000.0,1776000000.0,3.0319634703196345,0.028608062877791284,0.38198757763975155,
0000002488-24-000123,Company_23,Financial,AA+,1,4.98,5749000000.0,4113000000.0,17465000000.0,3629000000.0,2864000000.0,4991000000.0,1719000000.0,265000000.0,77000000.0,,,60542000000.0,17465000000.0,263000000.0,4.81262055662717,0.028393511942122824,0.015173203549957057,
0000002488-24-000163,Company_24,Healthcare,AA+,1,4.91,7241000000.0,3897000000.0,18735000000.0,389000000.0,3419000000.0,5374000000.0,1720000000.0,1159000000.0,2325000000.0,,,69636000000.0,18735000000.0,1751000000.0,48.16195372750643,0.024699867884427594,0.0618628235922071,
0000002969-22-000010,Company_25,Energy,BB,0,0.98,1693800000.0,2953700000.0,484900000.0,2310600000.0,,487200000.0,51600000.0,-10800000.0,523000000.0,0.0,,27125300000.0,7619000000.0,1731700000.0,0.2098589111053406,0.0019022831083895847,-0.0014175088594303715,-inf
0000002969-22-000026,Company_26,Consumer,BB,0,1.08,1728200000.0,2348700000.0,620600000.0,3205100000.0,,507500000.0,87500000.0,-26000000.0,-107700000.0,19000000.0,,-300000.0,27449700000.0,3205100000.0,0.1936289039343546,-291.6666666666667,-0.0009471870366524953,-1.368421052631579
0000002969-22-000038,Company_27,Industrial,BB,0,1.01,1768600000.0,258000000.0,32000000.0,3406900000.0,,514000000.0,270000000.0,5000000.0,627400000.0,0.0,,-1467600000.0,5556800000.0,13273300000.0,0.00939270304382283,-0.1839738348323794,0.0008997984451482868,inf
0000002969-22-000054,Company_28,Utilities,BB,0,0.55,1794400000.0,275000000.0,515800000.0,939000000.0,,514200000.0,548300000.0,-7300000.0,21100000.0,1309400000.0,,13702400000.0,0.0,1247400000.0,0.549307774227902,0.040014887902849135,-inf,-0.005575072552314037
0000002969-23-000014,Company_29,Technology,BBB,1,2.42,1827200000.0,3131000000.0,29000000.0,68000000.0,,635300000.0,195900000.0,572200000.0,-79400000.0,328100000.0,,13935700000.0,8515000000.0,68000000.0,0.4264705882352941,0.01405742086870412,0.06719906048150323,1.743980493751905
0000002969-23-000023,Company_30,Financial,A,1,3.3,0.0,129200000.0,5721600000.0,2489300000.0,,645600000.0,8271900000.0,21700000.0,-60000000.0,801900000.0,,631900000.0,367200000.0,11947300000.0,2.298477483629936,13.0905206520019,0.059095860566448805,0.02706073076443447
0000002969-23-000037,Company_31,Healthcare,BBB,1,1.76,1679200000.0,87800000.0,108500000.0,474800000.0,,663900000.0,1300000000.0,14900000.0,5800000.0,326100000.0,,15370700000.0,1010700000.0,474800000.0,0.22851727042965458,0.08457649944374687,0.014742257841100228,0.04569150567310641
0000002969-23-000047,Company_32,Energy,BB,0,1.06,1700400000.0,1617000000.0,181600000.0,2890100000.0,,651800000.0,9280600000.0,38400000.0,2494600000.0,1293100000.0,,4000000.0,15800000.0,1266000000.0,0.06283519601397876,2320.15,2.430379746835443,0.029696079189544505
0000002969-24-000010,Company_33,Consumer,BB,0,1.2,14600000.0,1962600000.0,630700000.0,3119200000.0,,709300000.0,157900000.0,609300000.0,354400000.0,538000000.0,,1256100000.0,10666200000.0,34118200000.0,0.20219928186714542,0.12570655202611258,0.05712437419137087,1.1325278810408923
0000002969-24-000026,Company_34,Industrial,AA+,1,5.42,125000000.0,174900000.0,719200000.0,174300000.0,,721200000.0,3649000000.0,20800000.0,371900000.0,386000000.0,,-1100000.0,719200000.0,-301000000.0,4.126219162363741,-3317.2727272727275,0.028921023359288096,0.0538860103626943
0000002969-24-000043,Company_35,Utilities,BBB,1,2.08,1712200000.0,233600000.0,82700000.0,681300000.0,,755600000.0,990900000.0,1878300000.0,603300000.0,0.0,,3100000.0,31296900000.0,1182100000.0,0.12138558637898136,319.64516129032256,0.06001552869453524,inf
0000002969-24-000056,Company_36,Technology,BB,0,1.48,120000000.0,2979700000.0,193000000.0,4179600000.0,,766000000.0,13428600000.0,33700000.0,1565100000.0,0.0,,18673700000.0,7436500000.0,4179600000.0,0.04617666762369605,0.7191183321998319,0.00453170174141061,inf
0000003499-22-000004,Company_37,Financial,BB,0,1.0,,463539000.0,,44681000.0,,,68000000.0,132930000.0,,113140000.0,,5173000.0,-3099000.0,12501000.0,,13.145176879953604,-42.894482090997094,1.1749160332331625
0000003499-22-000009,Company_38,Healthcare,BBB,1,2.0,,472484000.0,,39084000.0,,,,14532000.0,,49215000.0,,5173000.0,53001000.0,24000.0,,,0.2741835059715854,0.29527583053946965
0000003499-22-000020,Company_39,Energy,BBB,1,2.0,,19149000.0,,63527000.0,,,,29346000.0,,49824000.0,,33865000.0,1425252000.0,166000.0,,,0.020590043023970498,0.5889932562620424
0000003499-22-000027,Company_40,Consumer,BBB,1,1.97,,264872000.0,,57190000.0,,,,44455000.0,,152768000.0,,27538000.0,9412000.0,251000.0,,,4.723225669358266,0.2909968056137411
0000003499-23-000005,Company_41,Industrial,BB,0,1.0,,19545000.0,,48785000.0,,,0.0,57632000.0,,115129000.0,,236867000.0,23000.0,3141000.0,,0.0,2505.7391304347825,0.5005862988473799
0000003499-23-000015,Company_42,Utilities,BBB,1,1.97,,356507000.0,,43908000.0,,,,11226000.0,,52941000.0,,-368000.0,1377759000.0,43908000.0,,,0.00814801427535585,0.21204737349124497
0000003499-23-000025,Company_43,Technology,BB,0,1.0,,531331000.0,,49223000.0,,,,75373000.0,,59177000.0,,5173000.0,58043000.0,1162781000.0,,,1.2985717485312613,1.2736874123392534
0000003499-23-000030,Company_44,Financial,BBB,1,2.0,,21163000.0,,44534000.0,,,,10754000.0,,89863000.0,,1410896000.0,5964000.0,-14000.0,,,1.8031522468142187,0.1196710548279047
0000003499-24-000007,Company_45,Healthcare,BB,0,1.0,,21122000.0,,51750000.0,,,0.0,102413000.0,,120351000.0,,238025000.0,-14141000.0,-19000.0,,0.0,-7.242274238031257,0.8509526302232636
0000003499-24-000015,Company_46,Energy,BBB,1,1.98,,21059000.0,,46589000.0,,,,16109000.0,,29963000.0,,230138000.0,1391274000.0,21102000.0,,,0.011578596308131971,0.5376297433501318
0000003499-24-000030,Company_47,Consumer,BBB,1,2.0,,410948000.0,,50778000.0,,,10000000.0,24489000.0,,114789000.0,,212888000.0,142782000.0,480000.0,,0.04697305625493217,0.17151321595159053,0.21333925724590336
0000003499-24-000041,Company_48,Industrial,BBB,1,2.0,,42359000.0,,50443000.0,,,400000000.0,31167000.0,,170464000.0,,190689000.0,161750000.0,17000.0,,2.09765639339448,0.19268624420401856,0.1828362586821851
0000003545-23-000030,Company_49,Utilities,A,1,2.63,712000.0,1062000.0,1718000.0,5363000.0,1260000.0,52481000.0,101410000.0,1835000.0,-4197000.0,,2566000.0,-27274000.0,1632000.0,-499000.0,0.32034309155323515,-3.7181931509862873,1.1243872549019607,
0000003545-24-000034,Company_50,Technology,AA+,1,3.52,5048000.0,18632000.0,71817000.0,28540000.0,-14515000.0,10846000.0,1410000.0,42945000.0,-17527000.0,,1410000.0,287749000.0,225000.0,28540000.0,2.516362999299229,0.0049001039100049,190.86666666666667,
0000003545-24-000066,Company_51,Financial,A,1,3.0,9373000.0,5966000.0,51583000.0,3381000.0,-18380000.0,29719000.0,1410000.0,-15804000.0,-38006000.0,,1410000.0,8416000.0,2735000.0,140367000.0,15.25672877846791,0.1675380228136882,-5.778427787934186,
0000003545-24-000099,Company_52,Healthcare,AA+,1,4.26,4512000.0,9106000.0,54364000.0,4618000.0,-4576000.0,35998000.0,82642000.0,276000.0,-6728000.0,,1410000.0,274292000.0,6213000.0,4618000.0,11.772195755738414,0.3012920537237688,0.04442298406566876,
0000003545-24-000128,Company_53,Energy,BBB,1,1.78,0.0,3150000.0,1558000.0,10651000.0,1186000.0,30084000.0,1410000.0,6973000.0,-67454000.0,,1410000.0,251159000.0,383777000.0,142424000.0,0.1462773448502488,0.005613973618305536,0.018169405670480514,
0000003570-22-000024,Company_54,Consumer,AA+,1,3.93,,1404000000.0,55000000.0,4000000.0,,706000000.0,29449000000.0,0.0,-701000000.0,1577000000.0,366000000.0,39258000000.0,55000000.0,4000000.0,13.75,0.7501400988333589,0.0,0.0
0000003570-22-000046,Company_55,Industrial,A,1,3.0,,1156000000.0,1992000000.0,1000000.0,,44000000.0,17184000000.0,0.0,-613000000.0,2000000.0,62000000.0,-3710000000.0,-99000000.0,1000000.0,1992.0,-4.631805929919137,-0.0,0.0
0000003570-22-000080,Company_56,Utilities,BB,0,0.67,,78000000.0,427000000.0,642000000.0,,65000000.0,26055000000.0,0.0,1477000000.0,15491000000.0,1497000000.0,-3562000000.0,427000000.0,7133000000.0,0.6651090342679128,-7.314710836608647,0.0,0.0
0000003570-22-000106,Company_57,Technology,B,0,0.07,,195000000.0,115000000.0,1665000000.0,,652000000.0,15699000000.0,0.0,-3016000000.0,8236000000.0,1498000000.0,1849000000.0,115000000.0,161000000.0,0.06906906906906907,8.490535424553812,0.0,0.0
0000003570-23-000042,Company_58,Financial,A,1,3.0,,0.0,1892000000.0,18000000.0,,826000000.0,16198000000.0,0.0,4559000000.0,7542000000.0,813000000.0,41266000000.0,-67000000.0,41266000000.0,105.11111111111111,0.39252653516211894,-0.0,0.0
0000003570-23-000050,Company_59,Healthcare,A,1,3.0,,93000000.0,1512000000.0,400000000.0,,102000000.0,23928000000.0,0.0,7991000000.0,7091000000.0,61000000.0,394000000.0,1512000000.0,4407000000.0,3.78,60.73096446700507,0.0,0.0
0000003570-23-000082,Company_60,Energy,AA+,1,3.85,,1834000000.0,26000000.0,4000000.0,,94000000.0,15595000000.0,0.0,10299000000.0,67000000.0,1796000000.0,-3162000000.0,26000000.0,4000000.0,6.5,-4.932005060088551,0.0,0.0
0000003570-23-000097,Company_61,Consumer,B,0,0.06,,422000000.0,95000000.0,1506000000.0,,27000000.0,15600000000.0,0.0,13054000000.0,151000000.0,349000000.0,4394000000.0,0.0,-1261000000.0,0.06308100929614874,3.5502958579881656,,0.0
0000003570-24-000040,Company_62,Industrial,BB,0,1.08,,4066000000.0,141000000.0,1780000000.0,,207000000.0,23397000000.0,0.0,15489000000.0,690000000.0,300000000.0,9020000000.0,309000000.0,0.0,0.07921348314606741,2.59390243902439,0.0,0.0
0000003570-24-000055,Company_63,Utilities,A,1,2.63,,4411000000.0,6109000000.0,6212000000.0,,210000000.0,21401000000.0,502000000.0,1154000000.0,2000000.0,3633000000.0,4044000000.0,17357000000.0,6212000000.0,0.983419188667096,5.2920375865479725,0.028922048741141904,251.0
0000003570-24-000095,Company_64,Technology,AA+,1,4.28,,2442000000.0,38000000.0,19000000.0,,24000000.0,22590000000.0,619000000.0,1588000000.0,7079000000.0,798000000.0,5625000000.0,1151000000.0,-324000000.0,2.0,4.016,0.5377932232841007,0.08744172905777652
0000003570-24-000120,Company_65,Financial,BBB,1,1.59,,2663000000.0,32000000.0,54000000.0,,80000000.0,14756000000.0,933000000.0,1647000000.0,102000000.0,700000000.0,-5853000000.0,32000000.0,54000000.0,0.5925925925925926,-2.521100290449342,29.15625,9.147058823529411
0000004127-22-000010,Company_66,Healthcare,AA+,1,4.0,,876400000.0,2863400000.0,312600000.0,714700000.0,838500000.0,50000000.0,399900000.0,445900000.0,,,8618500000.0,108200000.0,8618500000.0,9.159948816378758,0.005801473574287869,3.695933456561922,
0000004127-22-000015,Company_67,Energy,BB,0,1.39,,656400000.0,274400000.0,696600000.0,637600000.0,928200000.0,494200000.0,305800000.0,367300000.0,,,5188600000.0,8511600000.0,8511600000.0,0.39391329313809936,0.09524727286744016,0.035927440199257483,
0000004127-22-000034,Company_68,Consumer,AA+,1,4.99,,643000000.0,2908000000.0,109000000.0,583300000.0,1102000000.0,1689400000.0,267300000.0,1138900000.0,,498800000.0,5885100000.0,8694600000.0,67200000.0,26.678899082568808,0.28706394113948785,0.030743219929611484,
0000004127-22-000038,Company_69,Industrial,AA+,1,4.0,,566000000.0,3229900000.0,339200000.0,2604300000.0,1212100000.0,1689900000.0,1275200000.0,1527000000.0,,499200000.0,5469000000.0,288400000.0,3404800000.0,9.522110849056604,0.30899616017553483,4.421636615811373,
0000004127-23-000010,Company_70,Utilities,AA+,1,3.79,,819900000.0,3414300000.0,1225500000.0,637700000.0,1273300000.0,0.0,309400000.0,367000000.0,,499500000.0,0.0,3414300000.0,8947400000.0,2.786046511627907,,0.09061886770348242,
0000004127-23-000015,Company_71,Technology,AA+,1,4.57,,832600000.0,3399200000.0,103500000.0,1165000000.0,1257000000.0,200000000.0,232800000.0,273300000.0,,499800000.0,56200000.0,123400000.0,53200000.0,32.842512077294685,3.5587188612099645,1.886547811993517,
0000004127-23-000025,Company_72,Financial,BBB,1,1.52,,721600000.0,426000000.0,816900000.0,464100000.0,1235600000.0,150000000.0,195800000.0,230700000.0,,150000000.0,104000000.0,174700000.0,816900000.0,0.5214836577304444,1.4423076923076923,1.120778477389811,
0000004127-23-000030,Company_73,Healthcare,AA+,1,4.0,,718800000.0,3179500000.0,402800000.0,2107300000.0,1119700000.0,900000000.0,982800000.0,1125000000.0,,299400000.0,172400000.0,1222100000.0,8426700000.0,7.893495531281033,5.220417633410673,0.8041895098600769,
0000004127-24-000007,Company_74,Energy,AA+,1,5.0,,1029700000.0,454800000.0,95200000.0,506600000.0,926800000.0,300000000.0,231300000.0,258300000.0,,0.0,-5700000.0,8229100000.0,-11900000.0,4.777310924369748,-52.63157894736842,0.02810756947904388,
0000004127-24-000019,Company_75,Consumer,AA+,1,4.0,,1205400000.0,3145500000.0,606400000.0,420300000.0,835500000.0,300000000.0,4300000.0,447600000.0,,0.0,6072600000.0,164800000.0,606400000.0,5.18717018469657,0.04940223298093074,0.026092233009708737,
0000004127-24-000070,Company_76,Industrial,AA+,1,4.96,,1263400000.0,3239100000.0,115900000.0,364100000.0,822800000.0,300000000.0,120900000.0,130400000.0,,0.0,39900000.0,3239100000.0,115900000.0,27.94736842105263,7.518796992481203,0.03732518292118181,
0000004127-24-000131,Company_77,Utilities,AA+,1,3.58,,1368600000.0,484700000.0,303000000.0,1720800000.0,784800000.0,300000000.0,596000000.0,637400000.0,,0.0,-5600000.0,8283300000.0,127900000.0,1.5996699669966996,-53.57142857142857,0.07195199980684026,
0000004281-22-000004,Company_78,Technology,AA+,1,4.76,367000000.0,720000000.0,2737000000.0,198000000.0,,1402000000.0,700000000.0,258000000.0,-90000000.0,,,-799000000.0,1280000000.0,307000000.0,13.823232323232324,-0.8760951188986232,0.2015625,
0000004281-22-000008,Company_79,Financial,BBB,1,2.46,479000000.0,520000000.0,250000000.0,171000000.0,,1483000000.0,4228000000.0,130000000.0,-2000000.0,,,-1864000000.0,1000000.0,6672000000.0,1.4619883040935673,-2.2682403433476397,130.0,
0000004281-22-000017,Company_80,Healthcare,A,1,2.95,501000000.0,537000000.0,187000000.0,198000000.0,,1563000000.0,4169000000.0,147000000.0,336000000.0,,,-18000000.0,10052000000.0,-33000000.0,0.9444444444444444,-231.61111111111111,0.014623955431754874,
0000004281-22-000020,Company_81,Energy,AA+,1,4.0,550000000.0,453000000.0,2846000000.0,204000000.0,,1612000000.0,4170000000.0,79000000.0,-12000000.0,,,-1335000000.0,201000000.0,269000000.0,13.950980392156863,-3.1235955056179776,0.39303482587064675,
0000004281-23-000004,Company_82,Consumer,A,1,3.12,506000000.0,791000000.0,3143000000.0,1482000000.0,,1609000000.0,0.0,469000000.0,1352000000.0,,,5000000.0,6000000.0,1482000000.0,2.120782726045884,0.0,78.16666666666667,
0000004281-23-000008,Company_83,Industrial,AA+,1,3.72,655000000.0,537000000.0,3057000000.0,1403000000.0,,1662000000.0,3988000000.0,147000000.0,285000000.0,,,-648000000.0,3057000000.0,1403000000.0,2.178902352102637,-6.154320987654321,0.04808635917566242,
0000004281-23-000016,Company_84,Utilities,A,1,3.22,657000000.0,535000000.0,3128000000.0,1410000000.0,,1715000000.0,3989000000.0,193000000.0,388000000.0,,,-1155000000.0,513000000.0,1410000000.0,2.218439716312057,-3.4536796536796537,0.3762183235867446,
0000004281-23-000020,Company_85,Technology,BBB,1,2.12,714000000.0,424000000.0,212000000.0,189000000.0,,1748000000.0,376000000.0,187000000.0,402000000.0,,,-1850000000.0,45000000.0,189000000.0,1.1216931216931216,-0.20324324324324325,4.155555555555556,
0000004281-24-000007,Company_86,Financial,AA+,1,4.99,675000000.0,610000000.0,3316000000.0,263000000.0,,1765000000.0,206000000.0,765000000.0,1587000000.0,,206000000.0,55000000.0,4926000000.0,37000000.0,12.608365019011407,3.7454545454545456,0.15529841656516444,
0000004281-24-000014,Company_87,Healthcare,BBB,1,2.1,785000000.0,533000000.0,221000000.0,201000000.0,,1783000000.0,3486000000.0,243000000.0,-26000000.0,,206000000.0,408000000.0,220000000.0,6324000000.0,1.099502487562189,8.544117647058824,1.1045454545454545,
0000004281-24-000026,Company_88,Energy,AA+,1,4.98,749000000.0,752000000.0,3603000000.0,225000000.0,,1848000000.0,23000000.0,509000000.0,767000000.0,,782000000.0,1000000.0,10679000000.0,225000000.0,16.013333333333332,23.0,0.04766363891750164,
0000004281-24-000034,Company_89,Consumer,A,1,3.01,757000000.0,475000000.0,239000000.0,288000000.0,,1902000000.0,500000000.0,332000000.0,1188000000.0,,1000000.0,4503000000.0,239000000.0,-42000000.0,0.8298611111111112,0.11103708638685321,1.389121338912134,
0000004457-22-000011,Company_90,Industrial,BBB,1,1.97,,65182000.0,,634795000.0,,0.0,,1036539000.0,3603000.0,0.0,,0.0,510507000.0,17078000.0,,,2.0304109444140823,inf
0000004457-22-000041,Company_91,Utilities,BBB,1,2.0,,0.0,99000.0,663482000.0,,158888000.0,,1123286000.0,-56293000.0,0.0,,14382417000.0,17299581000.0,1821000.0,0.0001492127894954196,,0.06493139920556458,inf
0000004457-22-000074,Company_92,Technology,BB,0,1.0,,0.0,,3299000.0,,0.0,,334002000.0,491159000.0,109351000.0,,3098348000.0,-2177000.0,3098348000.0,,,-153.42305925585669,3.0544027946703736
0000004457-22-000108,Company_93,Financial,BB,0,1.0,,3065115000.0,,706402000.0,,166136000.0,,1536000.0,520998000.0,185586000.0,,0.0,15243508000.0,15243508000.0,,,0.00010076420729401657,0.008276486372894507
0000004457-23-000011,Company_94,Healthcare,B,0,0.0,,0.0,,703412000.0,,0.0,,0.0,-27561000.0,190483000.0,,858594000.0,730000.0,8826333000.0,,,0.0,0.0
0000004457-23-000052,Company_95,Energy,AA+,1,4.02,,15006000.0,58917000.0,4470000.0,,0.0,,0.0,1444106000.0,744492000.0,,176000.0,459897000.0,-7372000.0,13.180536912751679,,0.0,0.0
0000004457-23-000064,Company_96,Consumer,AA+,1,70.24,,2377124000.0,,3303000.0,,0.0,,0.0,-10601000.0,198961000.0,,10497000.0,1021000.0,-70690000.0,,,0.0,0.0
0000004457-23-000084,Company_97,Industrial,BB,0,1.0,,2068790000.0,,7910000.0,,161535000.0,,4624000.0,-27839000.0,0.0,,7024101000.0,0.0,1514732000.0,,,inf,inf
0000004904-22-000024,Company_98,Utilities,AA+,1,4.99,1941600000.0,38000000.0,647800000.0,5000000.0,,,8000000.0,2488100000.0,809300000.0,52700000.0,1022400000.0,287800000.0,647800000.0,5000000.0,129.56,0.02779708130646282,3.8408459401049706,47.212523719165084
0000004904-22-000053,Company_99,Technology,BBB,1,1.96,78800000.0,2000000.0,-1200000.0,35800000.0,,,65000000.0,3400000.0,17800000.0,-2900000.0,91300000.0,321200000.0,4445500000.0,35800000.0,-0.0335195530726257,0.20236612702366127,0.0007648183556405354,-1.1724137931034482
0000004904-22-000074,Company_100,Financial,AA+,1,4.0,188300000.0,12500000.0,453500000.0,1000000.0,,,8000000.0,-3700000.0,167000000.0,24500000.0,266100000.0,56600000.0,4928400000.0,0.0,453.5,0.1413427561837456,-0.0007507507507507507,-0.1510204081632653
0000004904-22-000093,Company_101,Healthcare,BBB,1,2.0,104300000.0,55100000.0,333800000.0,0.0,,,120000000.0,139400000.0,930100000.0,508900000.0,0.0,5500000.0,24300000.0,0.0,inf,21.818181818181817,5.7366255144032925,0.2739241501277265
0000004904-23-000011,Company_102,Energy,BB,0,1.0,123100000.0,509400000.0,9418700000.0,-600000.0,,,12000000.0,-1600000.0,419900000.0,-66800000.0,100000.0,-8600000.0,178100000.0,-600000.0,-15697.833333333334,-1.3953488372093024,-0.008983717012914094,0.023952095808383235
0000004904-23-000072,Company_103,Consumer,AA+,1,5.0,225600000.0,42500000.0,621100000.0,1400000.0,,,8000000.0,40600000.0,113400000.0,4690900000.0,86000000.0,10152700000.0,621100000.0,1400000.0,443.64285714285717,0.0007879677327213451,0.0653678956689744,0.008655055533053358
0000004904-23-000081,Company_104,Industrial,BB,0,1.01,250200000.0,0.0,16800000.0,1278200000.0,,,13000000.0,4200000.0,602100000.0,400000.0,251800000.0,1190000000.0,446000000.0,1190000000.0,0.013143483023001095,0.010924369747899159,0.009417040358744395,10.5
0000004904-23-000104,Company_105,Utilities,BBB,1,2.19,169500000.0,0.0,21400000.0,110100000.0,,,8000000.0,81000000.0,214300000.0,0.0,196200000.0,1492200000.0,96002100000.0,110100000.0,0.1943687556766576,0.0053612116338292454,0.0008437315433724887,inf
0000004904-23-000121,Company_106,Technology,BBB,1,1.99,238000000.0,53800000.0,17100000.0,1201300000.0,,,450000000.0,2900000.0,2932800000.0,0.0,0.0,-6700000.0,34000000.0,900000.0,0.014234579205860317,-67.16417910447761,0.08529411764705883,inf
